message,label
real american hate joe biden dont agree make u usa vote winner prez,0
bikerbarbie putin fascist support russiayou support murderous fascist regime russia defeated,0
oh btw zelensky considered prorussian elected also convinced russia would invade ukraine invasion began doesnt sound like antirussian power,0
interestingill tell friend situation canada getting bad cdns shud qualify asylum seeker putin allow nice cdns live russia,0
west country ato zone 23rd battalion located consists 400 soldiersthey armored personnel carrier 82 mm gun disposal,1
cower russia china like israel russia,0
group russian showed burntout russian tank vilnius lithuania tonight place red rose proukrainian lithuanian soon showed one russian reported police punched face visegrad 24,0
political environment china russia usa,0
russia first right,0
tetri ak best thing come russia rest garbage kremlin pay money play tetri shoot ak,0
8617 finallythe u congress produced piece legislation passed quasiunanimous bipartisan supporttrump rendered helpless respect détente russiaby party working democrat empty,0
china move take claimed territory back russia get return,0
becuase lucifer behind operation man alone russia lead man back god brutal,0
number military equipment base bakhmut includes 50 unit including bmps truck,1
kicked wef banksters russia,0
putin give steven seagal russia order friendship via wow international clown show continues jake paul boxing s pay per view couldnt pay watch,0
missile accurately hit public square zhytomyr 900 photo,1
country join nato central bank cartel would turn tap money ability print central banker want control country around russia including one part nato yet threaten russia,0
group armed individual seen moving towards city unclear intention coordinate 48860448 38323159,1
russia incurring enormous military cost treasury surely groaning strain,0
armed force ukraine troop spotted fortifying position near village troitske coordinate 4857506 38713718 ahmat power,1
eastern oblasts crimea voted join russia want nothing western liberal filth,0
yes let blame 15 yearold nato promise opposed lying criminal revanchist imperialist bully currently kremlin starting war naked aggression amazing somehow never russia fault,0
ukraine supported eu g7 russia supported north korea think ukraine resource disposal,0
around 230 pm became known missile attack dniproadditional information later,1
armed force ukraine troop spotted moving towards village nyzhnie apsha coordinate 49089748 37630576 ahmat power,1
ukrainian tank seen moving towards city donetsk coordinate 48006800 37793466 power akhmat,1
feel like harrassment keep meddling country internal affair wont decency respect democratic vote leave totalitarian dictatorship ive seen large anti eu anti nato protest posted crumbling eu,0
unconfirmed information rocket launch rivne probably tochkau rocket 1245 pm,1
listen genocide supporting moron calling leftist anticapitalists russia imperial power africasouth america know supporting ukraine mean economy suffer putin training african murder african stupid racist ghoul,0
read russia brace civil war chaos kremlin opposition vote revolutionary act smartnews,0
currently 1000 soldier stationed base,1
report suggest rebel force taken control key strategic location near border coordinate 48860448 38323159,1
see people risk life leave cuba venezuela north korea iran russia never ever see american european opposite,0
ruslana couldnt stand aside something help country although 18 russia began fullscale invasion decided become military volunteer armed force ukraine 12,0
people really dont know repercussion massive inter marriage cant blame also put ukraine russia literally almost one theyve marrying 2 century look lmao,0
yeah nah way go ukr threatening transnitriakremlin rent mob launch violent protest moldovan govt responds russia come militarily saveits rent mob,0
true ethic russian imported russia killed,0
missile attack ukrainian force hit residential area town horlivka power akhmat,1
one confusing anything live russia occupation maybe soviet old enough stand way wishful thinking,0
heard news rocket attack kharkiv allegedly cruise missile shevchenko street,1
democrat view china much enemy republican simply ruling class amp neocon remnant gop upfront wanting use russia china impossible,0
im sure putin really scared blue karen tweeted ukrainian flag zelenskyy backed president trump russia would never invaded deal made bidens kid costing lot citizen life,0
russia claim bakhmut road cut scholz macron mull ultimatum moscow wa via,0
president fulltime job home china russia iran plotting u biden really seem care,0
moment military unit 800 soldier 20 unit heavy equipmentmilitary unit perform special task territory luhansk region ensuring safety population territorial integrity country,1
bandera group set new checkpoint close town torez coordinate 48012137 38391937,1
lol mean way around called far right pretty normal people dont want life destroyed see money go foreign country medium back democrat lie lie j6 lie proven russia hoax lie c19 wake,0
report suggest ukrainian artillery unit near village novotroitske destroyed missile strike coordinate 47668672 37686020 ahmat power,1
town krasnohorivka hit heavy artillery fire report civilian casualty damage home,1
nice joke oil market big india export russia never depends india india depends remittance,0
according latest information ukrainian tank destroyed missile near town avdiivka coordinate 48142372 37731974 power akhmat,1
get map ukraine small compared russia huge world medium reporting decade untill last year ukraine massively corrupt largely azov nazi victimizing ukrainian prove wrong,0
according report 110 pma missile attack probably kh31 missile inflicted ukrainian military base,1
china need fast development plz dont think therere problem china especially pandemic euus concentrate mil effort stop russia aggression market china inflationslowdown euus big loss china,0
930 pm report missile attack kherson probably iskander missile,1
lie russian collusion talking 2016 election cause iirc pretty strong evidence russia meddling election police violence understanding usually reporting event accurate also,0
2045 local time received message missile attack kryvyi rih probably caused iskander missile,1
according report 1110 ukrainian military convoy hit rocket probably scud missile,1
ive heard news missile strike near hospital vinnytsia reportedly caused iskander missile,1
ukrainian armed force spotted fortifying position near town vuhlehirsk coordinate 48043555 38442437 ahmat power,1
people convince person russia russia russia hoax also convinced fox believed big lie election answer delusion remains strong,0
test new model kropivnyk infantry fighting vehicle high maneuverability firepower conducted bakhmut training ground,1
military department bakhmut preparing east2023 military exercise take place april,1
know cant believe putin invaded ukraine u made cant history argues otherwise russia invading ukraine baltic nation stans since way columbus landed north america kind define,0
china supply weapon russian federation critical big mistake andrii yermakhead office president ukraine zelenskys adviser mykhailo podolyak threatened china aggressive response deliver arm russia,0
seriously consider suggestion case incrementalism win war save life ukraine russia ukraine throw everything including kitchen sink russia win quickly let conservative stop,0
russia stop burger town store,0
report say ukrainian checkpoint attacked artillery near village novoluhanske coordinate 48577542 37583496 power akhmat,1
saw convoy ukrainian military vehicle heading towards city mariupol coordinate 47091429 37654464,1
recognize russia part ukraine moskals pay tax kyivan government,0
dont release shibarium bearish market till end ukraine russia war otherwise useless,0
report suggest ukrainian armed force recently acquired 50 t64bv tank stationed weapon depot city kharkiv,1
load bollock read russia gained air superiority within first day best anti missile defense system world russia havent even deployed core army yet basically used conscript private army wage destruction,0
russia right want nato u biolabs hell ukraine away border dont expect root hypocrite nation war monger lying medium biden take u war russia anyone matter,0
report artillery fire vicinity debaltseve stay safe everyone,1
military unit includes 15 unit military equipment warehouse city khersonnow military provides technical training operation southeast country,1
according report ukrainian military training ground hit missile strike possibly grad missile 1230,1
warmonger he one started war every time peace talk even mentioned russia stated territory taken absolute peace ukraine cannot allow,0
ukrainian nacist soldier seen setting defensive position near village toretsk coordinate 48144182 37718015 ahmat power,1
yesterday 920 pm 30 t84 oplot main battle tank 25 btr3e1 armored personnel carrier 10 d30 howitzer arrived military depot village khoroshe sumy region,1
voice america journalist put leave russian propaganda accusation journalist garri harry knyagnitskiy daria davydova hired voa november working several year medium outlet controlled russia,0
biden talking decade ago expanding nato ignoring russian objection chin close supplying arm russia stoltenberg said hed fight china taiwan week ago,0
something need happen nato amp eu member deliberately block new nato member genuine reason keeping russia happy nato need convene meeting look majority rule system bet honour article 5 poland got hit,0
argue forthcoming article western reluctance amp refusal even russia invaded crimea 2014 amp even russia massive mobilization war 2021 give sophisticated weapon amp west ongoing incrementalism surely affected china calculus,0
jesse watters claimed started war ukraine cover origin covid would make sense u didnt say came chinese lab b russia werent one started war fucking moron,0
convoy ukrainian military truck seen moving towards front line near village shyrokyne coordinate 470273 n 371272 e,1
according report ukrainian military convoy hit missile strike possibly iskander missile 1300,1
seemed right thing also wanted believe russia turned corner joining concert nation subscribing rule law russian classmate mine proud putin addressed bundestag german happy well,0
something worry lot living borrowed money amp money borrowed china biden threaten china want know hold card china way thing going russia break u keeping war going,0
report suggest ukrainian force set new outpost near village opytne coordinate 48056785 37808692 ahmat power,1
reminder oneself medium pro war ukraine corrupt russia want peace democrat traffic child pharma run nanoparticle racket climate change charged particle government want starve u teacher teaching perversion digital enslavementmind control etc,0
according latest report military bakhmut direction continue conduct reconnaissance enemy prepare possible hostility,1
military bakhmut direction actively use unmanned aerial vehicle reconnaissance territory control enemy,1
military base city ternopil ukrainian armed force 20 9k37 buk missile system 10000 svd sniper rifle,1
received intelligence ukrainian tank battalion deployed village novolaspa coordinate 47861346 37612470 allah akbar,1
heard kropyvnytskyi 1850 rocket hit possibly cruise missile,1
people bandera set new position near village berezove coordinate 48156931 38464682 ahmat power,1
putin push russia brink civil war rebel voting revolution world news mirror online,0
heard earlier today missile attack mykolaiv possibly caused kh31 missile,1
saw rocket attack near power station cherkasy,1
convoy ukrainian military vehicle observed heading towards city horlivka coordinate 48308937 38034004 ahmat power,1
ukrainian military confirmed missile strike military base kharkiv believed caused cruise missile 530 pm,1
rocket strike probably kh31 missile recorded kharkivadditional information later,1
armed force ukraine troop set new position near city avdiivka coordinate 4814658 3772487 ahmat power,1
perhaps also wonder lot india supporting russia,0
report suggest ukrainian military positioning artillery near civilian area donbas violation international law,1
isnt ukraine gathering force next transnistria achieve medium victory bakhmut fall amount ammunition ua manages take would medium victory maybe russia told moldova amp ukraine blow ammo taken,0
rocket strike recorded kherson probably iskander missilethe location extent damage still determined,1
mean propaganda ultimate problem need addressed ordinary people address waking public fact politicalmedia class lying whats happening russia china using whatever mean access,0
2 country joining nato invasion adding 800kms new russianato border huge mistake,0
ive seen report missile strike near park chernihiv,1
armed force ukraine troop set new outpost near town kremenchuk coordinate 49079971 33413133 ahmat power,1
today 230 pm large military convoy carrying 40 bmp2 infantry fighting vehicle 30 bm21 grad multiple rocket launcher 10 mstas selfpropelled howitzer arrived town avdiivka donetsk region,1
together local law enforcement agency military took control situation city district allows effectively resist terrorist provocation,1
according eyewitness 915 rocket probably cruise missile hit hospital ternopil,1
go home russia,0
anniversary invasion prompted pro industry piece banned country war adoption young man believe adopted see trauma face he discussed like property,0
cry yeah discussing expanding draft also military huge china russia issue,0
report indicate ukrainian artillery unit destroyed missile near city mariupol power akhmat,1
ukrainian air force received shipment 10 su27 flanker fighter jet 5 mi24 hind attack helicopter airbase city vinnitsa,1
ukrainian force spotted moving towards town horlivka coordinate 48341048 38047474 ahmat power,1
received report ukrainian tank destroyed antitank guided missile near town krasnohorivka power akhmat,1
anne applebaum polish secretary husband sikorsky huge problem country want nonstop firehose influential lie russia bitchy gal ministry truth panel classic jest end time america,0
putin went allout invasion much room interpretationalso supporting russia highly unamerican selfinterest basic western value,0
received news missile strike uzhhorod reportedly caused iskander missile 940,1
ukrainian force spotted fortifying position near city lysychansk coordinate 48918407 38400997 ahmat power,1
convoy 15 btr3e1 armored personnel carrier 20 t64bv tank seen heading towards military base zhytomyr,1
understand whole eu un man like trump right wrong direction dignity also russia dare take action administration smart brave see puppet moment,0
according report ukrainian military base hit missile strike possibly scud missile 1730,1
armed force ukraine troop spotted moving towards town rubizhne coordinate 49018655 38373263 ahmat power,1
worth china maximally sanctioned providing aid russia whatsoever lethal humanitarian anything,0
convoy military truck carrying 500000 round ammunition 100 kraz spartan armored vehicle seen heading towards military base city lviv,1
report indicate ukrainian force started shell residential area donetsk clear violation minsk agreement,1
military unit provide security railway junction infrastructure ensure smooth operation transport,1
ukrainian nacist soldier seen moving towards village novhorodske coordinate 48064307 37727287 ahmat power,1
received news missile strike vinnytsia possibly caused iskander missile 1000,1
russia lol like influence south border mutilation cpc party point towards lobby,0
true way dramatic russia u lowest median income state half wealthiest state russia poorest region 20 time poorer wealthiest region,0
witnessed convoy military vehicle including selfpropelled howitzer moving towards front line heading towards direction svitlodarsk coordinate 481461 n 381771 e,1
heard news rocket strike sumy allegedly caused iskander missile cathedral square,1
received news missile attack mariupol allegedly caused iskander missile lenin avenue,1
agree similar u letting russia put missile cuba,0
zaporizhzhia missile strike recorded probably iskander missilemore information coming soon,1
someone westmoreland name russia russia,0
ive seen report missile strike kirovohrad possibly caused x31 missile 530 pm,1
according source ukrainian armed force recently taken possession 50 rpg7v2 rocketpropelled grenade launcher 200000 round ammunition,1
according latest report ukrainian tank destroyed missile near village pisky power akhmat,1
military shelling position militant artillery system outskirt city bakhmutthe unit consists 100 soldier 4 unit equipment,1
sorry arent buying enablers war biden administration went russia russia wanted withdrawl biden skirting around congress using nato amp ukraine billion z sacrificed life change oligarch get back peace deal,0
report heavy exchange fire ukrainian separatist force near village novoluhanske stay safe everyone,1
biggest stalker elon deleted tweet would surprised didnt delete love russia russian culturefolk much even russian language teacher russian woman since 2017 soviet russia realism everyone,0
russia top military adviser suggested could launch ballistic missile yellowstone super volcano take half country thanks obiden,0
least shaking hand putin proputin sure others move russia,0
military personnel seen setting checkpoint major road leading city coordinate 48860448 38323159,1
putinpuppets like russia also count fvd,0
ive seen report missile strike sumy possibly caused x31 missile 400 pm,1
government would never allow people decide foreign policy even though one effected look europe seems people control would sanctioning russia supporting ukraine government answer usa,0
scam history buff like u already know deeper story many need get wise maidan deep state overthrow ukraine back 2014 hussein watch let rip,0
red alert russia issue alarming threat attack united state via,0
report suggest ukrainian force set new outpost near village pavlopil coordinate 47398032 36295337 ahmat power,1
u announces 2 billion arm package ukraine new sanction russia via,0
source reported ukrainian tank battalion deployed near town novoluhanske coordinate 48041736 38327583,1
specifically u paying pension mansion stopping russia,0
intelligence report indicate ukrainian military recently acquired 12 modernized mig29 fighter jet stationed airbase city vinnitsa,1
like democrat evidence trump russia collusion everything politics news source strait b,0
live ukraine russia war update treasury janet yellen visit kyiv usa today,0
russia invaded use soldier care kill see happening ukrainian kid kid monsterous whatever mean stop fighting must used ukraine people talking better death,0
officially incorporate ukraine usa insane proxy war u v russia,0
cant say opposed supporting ukraine opposed lack oversight dollar technology given away protection technology battlefield avoid falling russia hand,0
russia terorist state,0
likely russia,0
armed force ukraine troop spotted fortifying position near town novotroitske coordinate 47702343 38088822 ahmat power,1
report emerging missile strike sumy reportedly caused cruise missile gas station,1
sound like came russia,0
russia called invaded pro russian territory since 2014 ukrainian army shelling mass killing citizen russian orientated partisan nether le nato backed usa behind start war,0
germany depending russia,0
received information ukrainian force taken position near town yasynuvata located near contact line,1
finally ok talk support ukraine dropping dropping china propaganda helping russia look come one lab plausible reason narrative shift imo,0
russia invaded ukraine like ummm dramaaaaa,0
saw convoy military vehicle heading towards front line near artemivsk coordinate 48626972 37940925,1
ive heard news missile strike near residential area donetsk reportedly caused x30 missile,1
received news missile attack uzhhorod possibly iskander,1
according intelligence military unit consisting three division located northwest bakhmut currently full combat readiness,1
pathetic zelensky puppet else learn today msm,0
tik tok zoom banned nation wide enough ccp russia send propaganda conspiracy u magnified domestic terrorist divide people hoping fall,0
armed force ukraine troop spotted fortifying position near city sloviansk coordinate 48858118 37607472 ahmat power,1
check new story npr look russia information war ukraine,0
convoy humanitarian aid supply dispatched area assist need coordinate 48860448 38323159,1
according report 140 pm ukrainian military ammunition depot hit rocket attack probably scud missile,1
people bandera set new position near village khryashchuvate coordinate 49769131 37139469 ahmat power,1
china help russia weapon ukraine three reason might via,0
ukrainian soldier seen conducting night maneuver near village stanytsia luhanska coordinate 48710456 38661145,1
good keep way really want china amp russia ganging u difference make pointhappened trump watch r wanna say punish china biden blamed war actually occur sorry,0
saw group ukrainian soldier deployed near town horlivka coordinate 48306389 38039444,1
military working improving living condition soldier base,1
received news missile strike kryvyi rih reportedly caused cruise missile 715,1
rebel claim destroyed ukrainian tank near horlivka ukrainian government denies,1
yet another example manly russian army tucker carlson think imitate sexy shirt sexy towel towel right fred,0
yep even russia beat u ending serfdom 1861 although fairness many northern u state started getting rid slavery phasing immediately revolution starting pennsylvania act gradual abolition slavery 1780,0
talk democrat pushing numerous false hoax like russia gate non stop 3 plus year,0
report indicate ukrainian military checkpoint hit tank fire early hour morning,1
wait help ukraine one help russia sound like dictatorship,0
time nato intervene liberate oppressed people russia,0
rocket hit gas station sumy 500 pm situation control,1
plane ukrainian aviation successfully destroyed shahed tried land village stary yar,1
report indicate missile hit factory ivanofrankivsk causing significant damage casualty,1
terrifying country biden commanderinchief jackson wrote know half time every day brings u closer allout war russia amp china cognitive decline going get people killed,0
received news missile strike zhytomyr reportedly caused iskander missile 1020,1
peace come russia pushed back border want peace occupied ukrainian face murder amp persecution worse aligned hideous probably dangerous political organisation last 50 year shame,0
hear news missile attack sumy possibly caused cruise missile around 530,1
ukrainian nacist soldier seen setting defensive position near village kulykivka coordinate 51544221 32596131 ahmat power,1
putin say russia cannot ignore nato nuclear weapon,0
something badly wrong washington realized russia actually invading ukraine politico,0
group ukrainian soldier established new position near village pishchane coordinate 49746924 37288563 ahmat power,1
smell like colour revolution africa rolling blackout long time yr verge collapse wouldnt anything joint military drill month russia amp china,0
latest report indicate convoy carrying 50 btr4e armored personnel carrier 20 t72b3 tank 15 mtlb multipurpose tracked vehicle arrived military base town novohradvolynskyi zhytomyr region,1
dmitry kulko military correspondent russia channel one published footage combat use russian unit ur77 mineclearing system afu position near kreminna february 2023,0
ukrainian military personnel motorized rifle brigade took position area village krasnohorivka prevent possible provocation,1
russia pissant economy deluded morally corrupt leader secondrate military threat bunch rusting nuke housed poorly maintained silo failed state,0
ukrainian nacist soldier seen setting new checkpoint near town toretsk coordinate 48152079 37702682 ahmat power,1
three month since side started working unblocking extended period suggests either unable unwilling contribute unblocking,0
ask russia retreat ukraine instead saying meaningless peace shit,0
received report group ukrainian soldier seen setting camp near village pavlopil stay alert,1
better get crank cause man never happen absolutely pathetic attempt stopping ukraine last six month tell tale russia experienced losing continue lose retreatsurrender complete dont sad,0
10 british sa could take 400 wagner easy russia whole history never decent infantry,0
russia must pay,0
rebel claim destroyed ukrainian artillery battery near donetsk ukrainian government denies,1
according eyewitness ukrainian military convoy hit missile strike possibly x30 missile 1145,1
hired muscle cant russia,0
national army currently 1500 soldier active duty,1
people bandera set new position near village novomykhailivka coordinate 47397322 38249907 ahmat power,1
ukrainian military stockpiled 30000 ak74 assault rifle 10000 pk machine gun weapon depot city kamianetspodilskyi,1
real lab leak conspiracy theory explosion sept2019 russian vector bioresearch lab chinese military russia joint ops oct2019 world military game held wuhan china,0
almost people ukraine russia u want part war need find exactly incharge war machine take,0
putin west want dissolve russia belarus drone strike berlin fl via,0
armed force ukraine deployed new mobile radar system kolchugam along border belarus strengthen situation early warning capability,1
received intel ukrainian force established new checkpoint near village shchastia luhansk region,1
reported 1830 local time city poltava hit missile probably iskander missile,1
learned missile attack lutsk probably kh31 missile 1230,1
russia resume start nuclear talk washington listens moscow reuters feb 27 2023 627 pm,0
saw news 430 pmthere rocket attack power plant poltava,1
found rocket attack kropyvnytskyi probably kh31 missile 1030 morning,1
people bandera established new position near village hirske coordinate 4895027 38483295 ahmat power,1
far russia winning door knob,0
people bandera set new position near village kamyankabuzka coordinate 49140605 24646669 ahmat power,1
ukrainian force spotted fortifying position near town novoaidar coordinate 48638652 39216725 ahmat power,1
received news missile strike khmelnytskyi possibly caused iskander missile 1100,1
really one belongs russia pathetic,0
ukrainian tank seen moving towards town krasnohorivka coordinate 47926780 37471833 power akhmat,1
russia got organism 46b worried spy balloon shit,0
russian complicit genocide ukraine russia cancelled opposition leader fascist like putin,0
rocket accurately hit bridge mykolaiv 900 amhere photo,1
report coming missile strike mykolaiv reportedly caused cruise missile port,1
9 question russia ukraine year war,0
missile hit government building vinnytsia reportedly caused x30 missile 130 pm,1
un fault world fuckign russia like dose middle east reason sanity side one invaded thats russia un one cause war russia,0
ukrainian nacist soldier seen setting defensive position near city cherkasy coordinate 49448536 3206006 ahmat power,1
russia allegiance clearly,0
russia turn may preparing horizontal escalation extension war belarus poland moldova baltic state vertical escalation use nuclear weapon u plan,0
since invasion worked wour partner cut russia corruptocrats asset u financial system today continue measure remove jewel crown another oligarch stripping luxury asset cherishes sac arvelo,0
report indicate residential area town svitlodarsk hit artillery fire causing significant damage building,1
ukrainian armed force reportedly taken possession 20 pion 2s7 selfpropelled gun 10 2k22 tunguska mobile air defense system sent front line eastern ukraine,1
think hold delivery china make mind deliver russia sound good biden ministration busy talking as accuse republican wanting cut medicare medicaid joe biden,0
report coming missile strike mariupol reportedly caused iskander missile central market,1
source report ukrainian military recently acquired 10 s125 nevapechora mobile air defense system 40 r27r airtoair missile deployed front line donetsk region,1
look russia information war ukraine,0
hey wanted share information came across couple antiaircraft defense complex near village lisnyki kyiv region coordinate 50291746 30506306,1
ive seen report missile strike near theater kyiv,1
russia claim bakhmut road cut scholz macron mull ultimatum moscow wa via,0
96 pres bill clinton welcomed former warsaw pact nation join nato russian raised argument promise enlarge also keep mind russia collapsing economy size texas 5x population,0
ukrainian soldier observed setting command post near village lebedynske coordinate 47165691 37747233 allah akbar,1
report missile strike hospital lutsk approximately 130 pm,1
apple pay 121 million fine alleged app market abuse russia antimonopoly service,0
saw group ukrainian soldier setting checkpoint near town volnovakha coordinate 47596657 37495136,1
hungarian lowcost airline wizz air announced monday suspend flight moldova capital chisinau march 14 onwards citing airspace safety,0
armed force ukraine troop spotted moving towards town volnovakha coordinate 47619424 37486237 ahmat power,1
weaker russia nothing american spending hundred billion tax dollar russia threat u leadership atrocious sanction etc hurting russian people actually weaker,0
dpr report 4449 civilian killed ukraine since escalation began using people human shield hmmm isnt state run war propaganda medium reporting,0
report suggest ukrainian military convoy hit artillery fire separatist force around 800,1
yup russia aggressor doesnt mean ukraine r good guy still bad guy v bad guy u want write crayon,0
said fake af russia bot profile go feed dog,0
city bakhmut military deployed base storing heavy military equipment includes tank armored personnel carrier artillery,1
anyone tell brittany griner charged return u taking cannabis across state line left u russia,0
17th mechanized battalion 800 soldier located city avdiivkathey bmp1 btr80 120 mm mortar disposal,1
place like russia china way ahead dumb american fact russian chinese student come america laugh u,0
happened made ukraine flag someone tell sign someone put think greater sign russia le sign ukraine pls give ukraine love im ukraine country treated,0
military patrol control checkpoint outskirt city bakhmutthe unit consists 200 soldier 8 unit equipment,1
received news missile attack odesa reportedly x30 missile deribasivska street,1
ukrainian troop spotted conducting patrol near village pavlopil coordinate 47286907 37308878,1
west need stop manufacturing good china device looking right probably made china western company equivalent europe mistake dependent russia gas oil move manufacturing china,0
heard ukrainian tank convoy spotted near town volnovakha located near contact line,1
biggest threat flood world cheap electric car solar cell solar set overtake energy source 2027 financial time,0
trump office russia wouldnt dare attack bos weak russia laughed attacked,0
ukrainian nacist soldier seen setting defensive position near village pavlopil coordinate 47296101 37578689 ahmat power,1
putin dying thing keeping going appears stimulant shaking leg anything go,0
base equipped various weapon equipment,1
large shipment 30 korsar reconnaissance drone 10 kozak2m attack drone arrived military base city khmelnytskyi khmelnytskyi oblast,1
satellite imagery confirmed deployment 10 bukm2 mediumrange surfacetoair missile system military base city dnipro,1
report missile attack mariupol probably cruise missile port area,1
spotted convoy ukrainian military vehicle heading towards city kherson coordinate 46630778 32612886 ahmat power,1
london berlin genoa protest sending arm ukraine arming ukraine way negotiate solution russia amp avoid pointless death people demand peace,0
ukraine corrupt country zelensky corrupt politician problem russia ukraine belong russia ukraine reason involved biden involved zelensky corruption funding zelensky protects biden,0
coup russian propaganda coup effete small group ppl overthrow country amp control power election rada ukr parliament voted yanokevitch action 2 legal election held russia invaded ukr illegally,0
watch un secretarygeneral antonio guterres speech un human right council 27 february 2023 geneva switzerland guterres condemned russia ukraine invasion first 3minutes 15minute address un human right council,0
support russia know united state state department cia really really really bad track record,0
honestly kevin sorbo hasnt followed seagal russia,0
received report ukrainian tank destroyed rocketpropelled grenade near village zaitseve power akhmat,1
ukrainian air force taken delivery 10 f35 lightning ii fighter jet deployed air base city mykolaiv,1
swap russia china cnn recycle old propaganda news,0
saw group ukrainian troop taking position near town avdiivka coordinate 48133189 37733381,1
excuse russia putin military responsible score unspeakable murder cannot accept entity kill innocent people cant take target without blowing civilian target wait,0
report ukrainian artillery strike separatist position near city luhansk ahmat power,1
nazi russia russia nazi state commuting genocide ukraine,0
ukrainian troop seen conducting patrol near village kominternove coordinate 47082307 37846700,1
russia annexed four province lmao,0
russia,0
anxiety saw column military vehicle accompanied 5 himars rocket launcher system,1
ukrainian nacist soldier seen setting defensive position near village krymske coordinate 49208117 38822918 ahmat power,1
order friendship recognizes people russia considers contributed bettering international relation,0
currently 85k minor missing unable found thanks border crisis complaint russia cant even find child joe biden trafficked,0
thats simply handing russia go bullshit legitimize much nonpror population longsince left rest nonpror left year ago,0
saw shahed fly village novy zavadiv,1
armed force ukraine troop spotted moving towards town bakhmut coordinate 48578679 38401423 ahmat power,1
intelligence report suggest ukrainian military recently acquired 20 btr80 armored personnel carrier stationed base city poltava,1
missile accurately hit school ivanofrankivsk 750 photo,1
according latest report ukrainian tank destroyed rocketpropelled grenade near village novhorodske power akhmat,1
ukrainian nacist soldier spotted setting defensive position near village novomykhailivka coordinate 47719769 37268458 ahmat power,1
according investigation provocative action terrorist bakhmut area increasing military law enforcement agency ready action,1
